sc_key,sc_name,sc_key_old,gl_rgn_id,gl_rgn_name,gl_rgn_key,sc_annex_dir,default_scenario,year
ohi-israel,Israel,israel,79,Israel,ISR,,med2014,2014
gye,Golfo de Guayaquil,ecuador,137,Ecuador,ECU,/Volumes/data_edit/git-annex/clip-n-ship/gye,region2015,2015
chn,China,china,209,China,CHN,/Volumes/data_edit/git-annex/clip-n-ship/chn,province2015,2015
bhi,Baltic,baltic,,Baltic,BHI,/Volumes/data_edit/git-annex/clip-n-ship/bhi,baltic2015,2015
ohi-global,Global,global,,Global,GLO,/Volumes/data_edit/git-annex/clip-n-ship/ohi-global,eez2014,2014
arc,Arctic,arctic,,Arctic,ARC,/Volumes/data_edit/git-annex/clip-n-ship/arc,circle2016,2016
ohibc,British Columbia,british columbia,218,British Columbia,OHIBC,/Volumes/data_edit/git-annex/clip-n-ship/ohibc,region2016,2016
col,Colombia,colombia,132,Colombia,COL,/Volumes/data_edit/git-annex/clip-n-ship/col,subcountry2014,2014
cdz,Gulfo de Cadiz,spain,182,Spain,ESP,/Volumes/data_edit/git-annex/clip-n-ship/cdz,gulfo2015,2015
cnc,Nouvelle-Calédonie,new caledonia,5,New Caledonia,CNC,/Volumes/data_edit/git-annex/clip-n-ship/cnc,eez2016,2016
rdv,Ria de Vigo,spain,182,Spain,ESP,/Volumes/data_edit/git-annex/clip-n-ship/rdv,municipal2016,2016
chl,Chile,chile,224,Chile,CHL,/Volumes/data_edit/git-annex/clip-n-ship/chl,region2016,2016
mhi,Main Hawaiian Islands,united states,163,United States,USA,/Volumes/data_edit/git-annex/clip-n-ship/mhi,region2017,2017
clme,Caribbean Large Marine Ecosystem,caribbean large marine ecosystem,,Caribbean Large Marine Ecosystem,CLME,,clme2017,2017
ohi-northeast,US Northeast,united states,163,United States,USA,~github/ohi-northeast/spatial,region2016,2016
toolbox-demo,Toolbox Demo,chile,224,Chile,CHL,/Volumes/data_edit/git-annex/clip-n-ship/chl,region2016,2016
bali,Bali,bali,216,Indonesia,,,,
pemsea,PEMSEA,pemsea,216,Indonesia,,,,
can-atl,Canada Atlantic,canada atlantic,218,Canada Atlantic,CAN-ATL,/Volumes/data_edit/git-annex/clip-n-ship/can-atl,region2017,2017
mex,Mexico,mexico,135,Mexico,,,,
sur,Suriname,suriname,168,Suriname,,,,